,title,gross_worldwide
528,Oblivion,"$286,168,572"
529,Elysium,"$286,140,700"
530,Lethal Weapon 4,"$285,444,603"
531,John Carter,"$284,139,100"
532,Turbo,"$282,570,682"
533,Paddington,"$282,374,179"
534,Bridget Jones's Diary,"$281,929,795"
535,The Tourist,"$278,780,441"
536,Split,"$278,454,358"
537,Scary Movie,"$278,019,771"
538,xXx,"$277,448,382"
539,The Bourne Legacy,"$276,144,750"
540,Mr. Peabody & Sherman,"$275,698,039"
541,Scooby-Doo,"$275,650,703"
542,Lincoln,"$275,293,450"
543,Lara Croft: Tomb Raider,"$274,703,340"
544,Tomb Raider,"$274,650,803"
545,The Expendables,"$274,470,394"
546,Cloudy With a Chance of Meatballs 2,"$274,325,949"
547,The Little Mermaid,"$274,190,855"
548,The Nutty Professor,"$273,961,019"
549,Jerry Maguire,"$273,552,592"
550,Bad Boys II,"$273,339,556"
551,Lilo & Stitch,"$273,144,151"
552,The Silence of the Lambs,"$272,753,884"
553,Get Out,"$272,495,873"
554,Grown Ups,"$271,430,189"
555,Neighbors,"$270,665,134"
556,The Firm,"$270,248,367"
557,We're the Millers,"$269,994,119"
558,Gran Torino,"$269,958,228"
559,"10,000 BC","$269,784,201"
560,American Gangster,"$269,755,430"
561,Epic,"$268,426,634"
562,Exodus: Gods and Kings,"$268,175,631"
563,Bambi,"$267,447,150"
564,The Princess and the Frog,"$267,045,765"
565,Batman Returns,"$266,903,053"
566,Indecent Proposal,"$266,614,059"
567,Something's Gotta Give,"$265,328,738"
568,Bridget Jones: The Edge of Reason,"$265,126,918"
569,The Incredible Hulk,"$264,770,996"
570,Parasite,"$264,475,049"
571,Waterworld,"$264,218,220"
572,The Truman Show,"$264,118,201"
573,Charlie's Angels,"$264,105,545"
574,The Fifth Element,"$264,029,966"
575,Jumanji,"$262,821,940"
576,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,"$262,552,893"
577,Robots,"$262,511,490"
578,Knight and Day,"$261,989,769"
579,Total Recall,"$261,317,921"
580,This Is It,"$261,183,588"
581,Terminator: Dark Fate,"$261,119,292"
582,The Lone Ranger,"$260,502,115"
583,Super 8,"$260,095,986"
584,Mojin: The Lost Legend,"$259,368,448"
585,Blade Runner 2049,"$259,239,658"
586,Charlie's Angels: Full Throttle,"$259,175,788"
587,Rush Hour 3,"$258,097,122"
588,The Full Monty,"$257,938,649"
589,Kung Fu Yoga,"$257,743,016"
590,Annabelle,"$257,047,661"
591,The Village,"$256,697,520"
592,Lost in Hong Kong,"$256,283,912"
593,Erin Brockovich,"$256,271,286"
594,Marley & Me,"$255,743,093"
595,Halloween,"$255,485,178"
596,Us,"$255,184,580"
597,Cliffhanger,"$255,000,211"
598,Baahubali 2: The Conclusion,"$254,158,390"
599,Babe,"$254,134,910"
600,Men in Black: International,"$253,890,701"
601,Wild Hogs,"$253,625,427"
602,High School Musical 3,"$252,909,177"
603,Hercules,"$252,712,101"
604,X-Men: Dark Phoenix,"$252,442,974"
605,True Grit,"$252,276,927"
606,Bean,"$251,212,670"
607,American Hustle,"$251,171,807"
608,Enemy of the State,"$250,849,789"
609,You've Got Mail,"$250,821,495"
610,Eragon,"$250,425,512"
